0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:16 +0530] "POST /PhoneBookProject/PhoneBookController HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:16 +0530] "GET /assets/js/hoverable-collapse.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:16 +0530] "GET /assets/js/misc.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:16 +0530] "GET /assets/js/off-canvas.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:16 +0530] "GET /assets/vendors/js/vendor.bundle.base.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:17 +0530] "POST /PhoneBookProject/PhoneBookController HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:17 +0530] "GET /assets/js/off-canvas.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:17 +0530] "GET /assets/js/misc.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:17 +0530] "GET /assets/js/hoverable-collapse.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:17 +0530] "GET /assets/vendors/js/vendor.bundle.base.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:18 +0530] "POST /PhoneBookProject/PhoneBookController HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:18 +0530] "GET /assets/vendors/js/vendor.bundle.base.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:18 +0530] "GET /assets/js/hoverable-collapse.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:18 +0530] "GET /assets/js/off-canvas.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:18 +0530] "GET /assets/js/misc.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:19 +0530] "POST /PhoneBookProject/PhoneBookController HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:19 +0530] "GET /assets/js/off-canvas.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:19 +0530] "GET /assets/js/hoverable-collapse.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:19 +0530] "GET /assets/vendors/js/vendor.bundle.base.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:19 +0530] "GET /assets/js/misc.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:19 +0530] "POST /PhoneBookProject/PhoneBookController HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:19 +0530] "GET /assets/vendors/js/vendor.bundle.base.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:19 +0530] "GET /assets/js/off-canvas.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:19 +0530] "GET /assets/js/hoverable-collapse.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:19 +0530] "GET /assets/js/misc.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:19 +0530] "POST /PhoneBookProject/PhoneBookController HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:19 +0530] "GET /assets/vendors/js/vendor.bundle.base.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:19 +0530] "GET /assets/js/off-canvas.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:19 +0530] "GET /assets/js/misc.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:19 +0530] "GET /assets/js/hoverable-collapse.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:20 +0530] "POST /PhoneBookProject/PhoneBookController HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:20 +0530] "GET /assets/js/off-canvas.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:20 +0530] "GET /assets/vendors/js/vendor.bundle.base.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:20 +0530] "GET /assets/js/hoverable-collapse.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:20 +0530] "GET /assets/js/misc.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:20 +0530] "POST /PhoneBookProject/PhoneBookController HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:20 +0530] "GET /assets/js/off-canvas.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:20 +0530] "GET /assets/vendors/js/vendor.bundle.base.js HTTP/1.1" 404 802
